variable,summer_KS_GOF
P1_Chl,0.2593293002501492
P1_Chl_vert,0.23176086816447675
P2_Chl,0.25441306122295243
P2_Chl_vert,0.20844524863156028
Z6_c,0.48517331439762984
Z6_c_vert,0.38049352999413577
N1_p,0.5811396961579646
N3_n,0.6657467079281737
N4_n,0.5537051516660987
N5_s,0.29410176936316995
O2_bot,0.7741434158762679
O2_o,0.6369551106295797
P3_Chl,0.3727258083767944
P3_Chl_vert,0.3184293526211699
P4_Chl,0.3891240739804798
P4_Chl_vert,0.20223380077650563
Z5_c,0.5729416557086953
Z5_c_vert,0.5154639495361261
Z4_c,0.6365125022247429
Z4_c_vert,0.586141917104287
