variable,summer_KS_GOF
P1_Chl,0.25566324448785355
P1_Chl_vert,0.230757464884968
P2_Chl,0.23012227831904633
P2_Chl_vert,0.20214887669211454
Z6_c,0.37749577353910135
Z6_c_vert,0.2125937162474578
N1_p,0.3632866461354369
N3_n,0.5206803390470871
N4_n,0.3585708236742607
N5_s,0.24860666317170618
O2_bot,0.5096461338547362
O2_o,0.6299742419200063
P3_Chl,0.2410941374854362
P3_Chl_vert,0.187412301527971
P4_Chl,0.28664261871080277
P4_Chl_vert,0.1181439773731921
Z5_c,0.4248809275824418
Z5_c_vert,0.36356823543302985
Z4_c,0.47372201136513087
Z4_c_vert,0.41350781368111894
