variable,MSE,MBE,CRPS_vs_target,KS_GOF
P1_Chl,0.009019652462698756,0.014814147811561977,0.011109827518517544,0.23739193994916605
P1_Chl_vert,0.005017600664396797,0.019936935056592303,0.006990286646385115,0.19765651759553435
P2_Chl,0.0024320879377452437,0.001251072828180443,0.00574064972460911,0.22854415035084832
P2_Chl_vert,0.0006146406683596314,0.0040529414651382266,0.002450375361738427,0.1910494618568634
Z6_c,4.840369491410262,0.0156981496555637,0.4228261205273094,0.29064423559457203
Z6_c_vert,0.9824300521823579,0.02534587719290935,0.10503531452415431,0.1767785824180807
N1_p,0.0011005650351487016,-0.00612357299147585,0.014299953938424806,0.6307374922561403
N3_n,0.24814728154637458,-0.09479325126976966,0.23496793515614905,0.7039906839809399
N4_n,0.0014337815518110733,-0.00012624169454447516,0.009355868830637992,0.32504752932303776
N5_s,0.06485190685976382,-0.046757629061194364,0.053231336220264325,0.30354970108187257
O2_bot,60.680110966915805,0.6551408967066983,3.0299273440311354,0.537282169252462
O2_o,59.40763199817138,-0.3637909349178189,3.900180427328835,0.7139482466551249
P3_Chl,0.0009731382854897969,-0.0006815391438961133,0.0051183740943738,0.4497524497341839
P3_Chl_vert,0.00015460625084541763,0.00024090039113635944,0.0018805091323079602,0.3570990985411632
P4_Chl,0.008493651955167667,0.005783081354913101,0.016114505259993053,0.27980302023597775
P4_Chl_vert,0.0017756751843933348,0.009077590841662191,0.0046203056535362745,0.18446150327412653
Z5_c,4.786850203020572,-0.17962619808367397,0.5131866490381065,0.5251631259534613
Z5_c_vert,0.7805308012322899,0.02383506866757242,0.17150727138536448,0.4074527366883397
Z4_c,21.418487101766722,-0.6706150244221858,1.3212772889721611,0.5053157560526559
Z4_c_vert,3.6450084911004574,-0.17083347098405077,0.47602588766854004,0.4200320455862369
