variable,MSE,MBE,CRPS_vs_target,KS_GOF
P1_Chl,0.03364548099257985,0.03620887124381318,0.03038307198852873,0.2696102270747141
P1_Chl_vert,0.010063034555448642,-0.02064249263261204,0.01155534886594926,0.19980166695668236
P2_Chl,0.015826941998614355,0.014504889076883297,0.018746439547824248,0.24679040736085192
P2_Chl_vert,0.0040216133788259535,-0.00188273280037855,0.008416842957017645,0.2043991585665468
Z6_c,18.33481134355666,-0.6689654388374059,0.9465237131013549,0.33732017691674765
Z6_c_vert,4.131720925123706,-0.2605582785392777,0.3016520713404231,0.2407498263087714
N1_p,0.002187908996843687,-0.005933111798602808,0.024660727709619436,0.693980085521132
N3_n,0.521417004375124,-0.11216261254574537,0.3875953085634588,0.7658791713880022
N4_n,0.005394223356345229,-0.0022651347591223564,0.025388579859255377,0.4967653180400603
N5_s,0.12820775799216055,0.008517747757326945,0.10260097340389988,0.39092724184951977
O2_bot,390.1234404549056,-13.991594584048986,11.66154221869437,0.8024861996696908
O2_o,222.6717561642634,-8.005069840455532,7.974157990717511,0.7795702457822539
P3_Chl,0.004615798601331614,0.0018108133157069158,0.011047247747717887,0.39199119382815595
P3_Chl_vert,0.0013760279380609624,0.0013946023513466198,0.0059042557642256755,0.3695332910503136
P4_Chl,0.014983713198670173,0.009322579309744766,0.025157153438220173,0.3444276660213029
P4_Chl_vert,0.004332466240096452,-0.008496334559765324,0.009903946076533283,0.24586447189477953
Z5_c,13.902342900959132,-0.27050412980692495,1.0498923682511612,0.54643338735511
Z5_c_vert,2.288160802935004,-0.14103327760346335,0.3553566727344473,0.45771540245392855
Z4_c,103.90901942049192,-1.4919224634302075,3.381630046034083,0.5932096906408693
Z4_c_vert,14.839263150356851,-0.6013745880847706,1.185510082551672,0.5103724985509399
